Area ID,Head segment ID,FRC of head segment,Count seg whip,Head pen rate,Head Ticon ADT,Head avg daily RSS,Avg whip pen rate,Std dev whip seg pen rate,Relat range,Month
1273,-1209665321,4,4,0.083,8347,694.3,0.092,0.026,0.651,22-6
1273,809404210,4,4,0.142,7232,1026.667,0.088,0.037,0.89,22-6
1273,-124170787,4,5,0.053,3561,190.2,0.05,0.013,0.674,22-6
1273,-124171003,4,6,0.23,6646,1527.4,0.149,0.044,0.785,22-6
1273,1209559976,4,6,0.11,9989,1103.667,0.12,0.022,0.5,22-6
1273,-1209559814,4,7,0.169,10929,1842.067,0.121,0.022,0.557,22-6
1273,1209665326,4,5,0.082,1866,153.7,0.08,0.008,0.233,22-6
1273,-1209665333,4,7,0.133,9001,1197.833,0.116,0.015,0.344,22-6
1273,1209665530,4,7,0.1,13439,1350.467,0.048,0.046,2.09,22-6
1273,1209665345,4,6,0.106,13782,1467.7,0.096,0.01,0.26,22-6
1233,-846841199,4,3,0.248,13680,3398,0.235,0.038,0.309,22-6
1233,-1209990542,4,4,0.124,23887,2972.567,0.15,0.023,0.355,22-6
1273,1209514689,4,16,0.12,9182,1101.967,0.134,0.016,0.368,22-6
1233,23121339,4,2,0.123,22154,2727.5,0.114,0.012,0.151,22-6
1233,-1209831818,4,6,0.148,10276,1521.267,0.117,0.019,0.418,22-6
1273,-1209514575,4,16,0.169,10527,1774.4,0.125,0.017,0.475,22-6
1233,-1209850828,4,5,0.1,15269,1528.933,0.082,0.014,0.408,22-6
1233,829469866,4,4,0.126,9492,1191.933,0.137,0.01,0.172,22-6
1233,1209994519,4,11,0.059,7980,468.067,0.061,0.005,0.256,22-6
1233,-1209853251,4,11,0.06,13192,784.967,0.039,0.007,0.695,22-6
1233,-846841208,4,13,0.063,6319,399.4,0.057,0.008,0.469,22-6
1233,1209838275,4,5,0.141,12543,1772.5,0.125,0.015,0.283,22-6
1233,1209833452,4,12,0.114,4185,475.2,0.064,0.018,1.12,22-6
1243,-1159282720,4,10,0.162,4552,736.133,0.138,0.048,0.938,22-6
1243,102422684,4,10,0.252,2771,697.767,0.209,0.042,0.575,22-6
1242,-1197552591,4,5,0.112,19236,2151.6,0.114,0.028,0.588,22-6
1243,102422693,4,8,0.13,8913,1155.6,0.122,0.012,0.258,22-6
1242,1197549952,4,5,0.179,12594,2257.767,0.152,0.027,0.464,22-6
1894,1188183233,4,3,0.182,4474,813.667,0.212,0.036,0.334,22-6
1894,-1215072450,4,3,0.126,5570,703.1,0.109,0.017,0.312,22-6
1894,-1215073450,4,3,0.128,7403,950.533,0.125,0.02,0.323,22-6
1894,1215200268,4,3,0.12,5459,657.467,0.108,0.016,0.28,22-6
1894,1215074655,4,6,0.158,2103,332.867,0.171,0.025,0.371,22-6
1895,-1215072640,4,4,0.108,5713,615,0.078,0.023,0.624,22-6
1895,1215085621,4,4,0.106,7092,750.967,0.101,0.024,0.558,22-6
1894,-1145730055,4,6,0.166,4339,719.667,0.134,0.026,0.425,22-6
1895,1188260832,4,6,0.138,4457,615.667,0.081,0.029,1.006,22-6
1895,1215072509,4,4,0.074,4371,325.367,0.086,0.017,0.385,22-6
1895,-1215073030,4,6,0.104,4597,477.333,0.088,0.02,0.61,22-6
1895,-1215086539,4,4,0.113,7520,849.4,0.095,0.017,0.43,22-6
1060,-1206932736,4,2,0.187,2265,422.667,0.19,0.005,0.034,22-6
1895,-43014559,4,9,0.128,5028,643.2,0.079,0.019,0.797,22-6
1895,1215073562,4,9,0.102,4750,484.067,0.094,0.02,0.71,22-6
1060,1206932737,4,2,0.103,3513,363.1,0.157,0.076,0.686,22-6
1241,1197102582,4,11,0.094,11100,1040.033,0.09,0.015,0.459,22-6
1281,-817178155,4,6,0.2,1904,380.467,0.118,0.045,1.031,22-6
1241,-1197158738,4,14,0.318,4458,1418.033,0.231,0.031,0.497,22-6
1281,1188194086,4,6,0.082,2937,240.4,0.083,0.022,0.787,22-6
