TotADT,VR
4025.00,0.0648447205
10675.00,0.0314754098
3762.50,0.1063122924
8778.00,0.0476190476
9450.00,0.0508994709
10237.50,0.0472771673
15251.50,0.0326525260
13850.00,0.0361010830
18633.50,0.0271017254
19045.50,0.0275130608
15300.00,0.0374509804
9491.50,0.0605805194
11383.00,0.0519195291
15697.50,0.0470775601
11900.00,0.0634453782
12250.00,0.0644081633
13220.00,0.0652798790
9641.00,0.0932475884
9712.50,0.0988416988
20756.50,0.0466359935
3037.50,0.3219753086
24387.50,0.0494925679
10260.00,0.1178362573
21828.50,0.0565315986
4620.00,0.2837662338
5311.25,0.2472111085
3390.00,0.3949852507
16980.00,0.0799175501
4850.50,0.3127512628
4025.00,0.3803726708
7437.50,0.2063865546
13387.50,0.1255648926
10916.00,0.1681018688
6420.00,0.2867601246
6210.00,0.3000000000
5794.50,0.3215117784
7080.00,0.2651129944
10772.50,0.1815734509
10590.00,0.1858356941
18266.50,0.1087236197
14703.75,0.1389441469
19075.00,0.1100393185
29666.50,0.0724386092
15575.00,0.1426645265
18353.50,0.1219930803
11567.50,0.2004754701
15846.50,0.1469094122
12660.00,0.1853870458
29499.00,0.0831892607
22880.50,0.1148139245
22385.00,0.1176234085
27250.00,0.1138715596
