ActTr,sum ADT,ID,Brand
978.00,3037.50,SE-107,BP
1339.00,3390.00,SW-514,Kwik Trip
400.00,3762.50,NE-209,BP
261.00,4025.00,NC-307,Krist Food Mart
1531.00,4025.00,NC-307,Krist Food Mart
1517.00,4850.50,NE-205,Kwik Trip
1313.00,5311.25,SW-506,Kwik Trip
1863.00,5794.50,NE-216,Kwik Trip
1863.00,6210.00,NC-302,Kwik Trip
1841.00,6420.00,NW-407,Kwik Trip
1877.00,7080.00,NW-402,Kwik Trip
1535.00,7437.50,SW-505,Kwik Trip
418.00,8778.00,SW-517,BP
481.00,9450.00,NW-403,Marathon
575.00,9491.50,NE-217,Citgo
899.00,9641.00,SE-114,Speedway
484.00,10237.50,SW-503,Casey's
1209.00,10260.00,NE-211,Kwik Trip
1968.00,10590.00,SE-104,Mobil
336.00,10675.00,SW-502,Casey's
1956.00,10772.50,NC-306,Kwik Trip
1835.00,10916.00,NW-409,Kwik Trip
591.00,11383.00,NC-310,Rstore
2319.00,11567.50,SW-518,Kwik Trip
755.00,11900.00,SW-515,Kwik Trip
789.00,12250.00,NE-210,BP
2347.00,12660.00,SW-519,Kwik Trip
863.00,13220.00,NW-405,Holiday Stationstores
1681.00,13387.50,NW-408,Kwik Trip
500.00,13850.00,NW-404,BP
2043.00,14703.75,SW-504,Kwik Trip
498.00,15251.50,SE-101,Mobil
573.00,15300.00,NE-208,Kwik Trip
2222.00,15575.00,SW-510,Kwik Trip
739.00,15697.50,NE-215,Pantry
2328.00,15846.50,NC-313,Kwik Trip
1357.00,16980.00,SW-520,Kwik Trip
1986.00,18266.50,SE-102,Kwik Trip
2239.00,18353.50,SW-512,Kwik Trip
505.00,18633.50,SW-513,BP
524.00,19045.50,SW-501,Amoco
2099.00,19075.00,NW-406,Kwik Trip
968.00,20756.50,NE-206,Speedway
1234.00,21828.50,NE-204,Kwik Trip
2633.00,22385.00,NW-401,Kwik Trip
2627.00,22880.50,SE-115,Kwik Trip
1207.00,24387.50,SE-112,Speedway
2454.00,29499.00,SE-119,Kwik Trip
2149.00,29666.50,SE-117,Kwik Trip
