Area ID,Head segment ID,FRC of head segment,Count seg whip,Head pen rate,Head Ticon ADT,Head avg daily RSS,Avg whip pen rate,Std dev whip seg pen rate,Relat range,Month,Outliers
1238,16992389,1,2,0.068,31855,2171.75,0.108,0.056,0.736,22-2,0
1238,-1171083844,1,1,0.191,14092,2698.5,0.191,0,0,22-2,0
1238,125335652,1,1,0.101,44416,4499.393,0.101,0,0,22-2,0
1238,-16992391,1,3,0.103,22003,2274.786,0.142,0.057,0.737,22-2,0
1238,1171086908,1,2,1.6,1862,2979.75,1.488,0.159,0.151,22-2,0
1287,-1231876948,1,5,1.676,490,821.214,1.745,0.098,0.13,22-2,0
1287,1262671919,1,6,0.032,4606,147.714,0.025,0.006,0.709,22-2,0
1287,43014377,1,5,0.064,14481,921.464,0.06,0.009,0.423,22-2,0
1287,1215155884,1,3,0.087,12258,1068.071,0.088,0.005,0.108,22-2,0
1287,909430617,1,7,0.073,18494,1350.536,0.059,0.012,0.519,22-2,0
1287,-1215156205,1,7,0.089,12439,1104.464,0.078,0.013,0.421,22-2,0
1469,-1128444525,1,1,0.088,76619,6707.429,0.088,0,0,22-2,0
1469,-1128444530,1,2,0.086,71765,6203.357,0.083,0.005,0.093,22-2,0
1469,1128444249,1,2,0.052,124923,6554.607,0.052,0.001,0.015,22-2,0
1469,119978696,1,2,0.059,131935,7745.893,0.055,0.005,0.139,22-2,0
1652,-722322112,1,1,0.207,11313,2340.643,0.207,0,0,22-2,0
1652,19436956,1,2,0.321,7582,2432.893,0.306,0.021,0.099,22-2,0
564,-1228817885,1,2,0.159,13357,2119.857,0.161,0.004,0.034,22-2,0
564,18869501,1,1,0.124,19921,2462.286,0.124,0,0,22-2,0
564,-907428782,1,4,0.329,13214,4352.143,0.192,0.092,0.999,22-2,0
564,907428779,1,4,0.083,25047,2081.036,0.096,0.045,0.971,22-2,0
1657,-1128298955,1,1,0.34,8706,2956.107,0.34,0,0,22-2,0
1657,19436702,1,2,0.117,22640,2644.536,0.155,0.054,0.493,22-2,0
1657,-19436707,1,5,0.267,11064,2953.786,0.276,0.018,0.163,22-2,0
1657,19436695,1,3,0.141,20197,2854.786,0.146,0.013,0.166,22-2,0
1644,1209148295,1,4,0.195,5562,1086.464,0.225,0.035,0.302,22-2,0
1644,-1232873730,1,5,0.194,6508,1259.786,0.178,0.01,0.145,22-2,0
1644,1127089607,1,3,0.343,3167,1085.071,0.357,0.022,0.11,22-2,0
1644,-1209148383,1,4,0.116,10052,1167,0.126,0.023,0.428,22-2,0
1666,-23369340,1,1,0.526,14498,7621.643,0.526,0,0,22-2,0
1666,1169389460,1,1,0.493,17372,8566.321,0.493,0,0,22-2,0
1666,23369296,1,1,0.664,11021,7323,0.664,0,0,22-2,0
1666,-1169390100,1,3,0.501,17518,8773.321,0.301,0.173,1.004,22-2,0
1703,-859453482000,1,1,0.192,22896,4392.143,0.192,0,0,22-2,0
1703,-854764073000,1,3,0.079,55474,4407.964,0.118,0.05,0.805,22-2,0
1703,859453480000,1,1,0.095,47012,4466.75,0.095,0,0,22-2,0
1703,1161737752000,1,5,0.153,58863,9021.536,0.094,0.034,0.871,22-2,0
1768,-125430400,1,1,0.293,13562,3977.714,0.293,0,0,22-2,0
1768,1283211085,1,1,0.46,6022,2772.429,0.46,0,0,22-2,0
1768,-125430412,1,1,0.256,15451,3948,0.256,0,0,22-2,0
1768,125430402,1,1,0.571,6578,3755.429,0.571,0,0,22-2,0
1715,119052255,1,1,0.239,27499,6567.893,0.239,0,0,22-2,0
1715,-1268540891,1,1,0.165,25509,4202.321,0.165,0,0,22-2,0
1715,-1268540892,1,1,0.232,27942,6488.286,0.232,0,0,22-2,0
1715,1243920800,1,2,0.174,20377,3555.571,0.166,0.013,0.107,22-2,0
1726,-855359206000,1,1,0.054,80926,4404.607,0.054,0,0,22-2,0
1726,-1222493122000,1,5,0.125,65534,8184,0.075,0.03,0.954,22-2,0
1726,1196096622000,1,2,0.135,27912,3771.464,0.13,0.007,0.072,22-2,0
1726,1199461770000,1,3,7.966,531,4229.75,7.826,1.432,0.365,22-2,0
1726,109015284000,1,5,0.069,56875,3903.929,0.088,0.029,0.794,22-2,0
1726,-109015279000,1,5,1.602,2377,3808.214,1.707,0.229,0.301,22-2,0
1232,1163030329,1,4,0.115,52122,5977.143,0.099,0.014,0.338,22-2,0
1232,-1163031204,1,4,0.079,56433,4483.571,0.09,0.016,0.391,22-2,0
998,-19435182,1,2,0.772,2684,2071.857,0.893,0.172,0.272,22-2,0
998,-1124317711,1,1,0.993,1548,1536.714,0.993,0,0,22-2,0
998,1202690552,1,2,0.913,1875,1711.071,1.127,0.303,0.38,22-2,0
998,1124317715,1,4,0.646,2334,1507.214,0.923,0.411,0.962,22-2,0
1005,1283597852,1,4,1.934,809,1564.857,1.892,0.32,0.413,22-2,0
1005,-1283598869,1,6,0.974,1631,1588.071,0.82,0.085,0.289,22-2,0
1046,-1129038594,1,8,0.275,10996,3028.5,0.346,0.114,1.012,22-2,0
1046,1232958909,1,6,0.366,7211,2640.107,0.429,0.097,0.568,22-2,0
1054,43029269,1,1,1.8,3079,5541.071,1.8,0,0,22-2,0
1054,-43029274,1,1,0.647,8245,5335.679,0.647,0,0,22-2,0
1081,109011093,1,2,2.66,1250,3325.286,3.711,1.487,0.566,22-2,0
1081,1223212818,1,4,4.379,1150,5036,4.012,0.883,0.476,22-2,0
1238,-1171083844,1,1,0.351,8698,3050.935,0.351,0,0,22-3,0
1238,16992389,1,2,0.104,25115,2611.29,0.165,0.087,0.743,22-3,0
1238,125335652,1,1,0.503,10787,5428.419,0.503,0,0,22-3,0
1238,-16992391,1,3,0.167,15368,2560.194,0.231,0.093,0.743,22-3,0
1287,-1231876948,1,5,1.045,885,925.194,1.094,0.068,0.143,22-3,0
1287,1262671919,1,6,0.019,8416,163.484,0.014,0.004,0.767,22-3,0
1287,1215155884,1,3,0.116,10081,1172.258,0.117,0.006,0.104,22-3,0
1287,43014377,1,5,0.075,13533,1015.161,0.071,0.011,0.408,22-3,0
1287,909430617,1,7,0.095,15224,1447.032,0.077,0.016,0.49,22-3,0
1287,-1215156205,1,7,0.172,7525,1297.968,0.148,0.026,0.43,22-3,0
1469,-1128444525,1,1,0.093,71039,6593.742,0.093,0,0,22-3,0
1469,-1128444530,1,2,0.089,68549,6074.161,0.085,0.006,0.094,22-3,0
1469,1128444249,1,2,0.054,120191,6483.516,0.053,0.001,0.018,22-3,0
1469,119978696,1,2,0.062,122957,7679.323,0.058,0.006,0.137,22-3,0
1652,-722322112,1,1,0.145,17298,2500.29,0.145,0,0,22-3,0
1652,19436956,1,2,0.21,12653,2654.097,0.2,0.014,0.1,22-3,0
