Area ID,Head segment ID,FRC of head segment,Count seg whip,Head pen rate,Head Ticon ADT,Head avg daily RSS,Avg whip pen rate,Std dev whip seg pen rate,Relat range,Month
1240,-1170508692,2,2,0.167,10394,1735,0.283,0.164,0.819,22-2
1240,1170512571,2,5,0.169,11904,2017,0.116,0.06,1.131,22-2
1234,-1161872973,2,3,0.138,8795,1211.786,0.125,0.014,0.217,22-2
1234,-1231577403,2,5,0.221,5655,1252.071,0.234,0.042,0.473,22-2
1234,1231577253,2,3,0.124,10421,1288.429,0.118,0.013,0.209,22-2
1241,764583903,2,3,0.207,14325,2958.571,0.156,0.045,0.559,22-2
1234,105811728,2,5,0.163,11156,1815.429,0.118,0.027,0.584,22-2
1241,-1234050164,2,4,0.198,16895,3342.214,0.122,0.051,0.885,22-2
977,1123443904,2,6,0.138,15803,2187.214,0.118,0.014,0.327,22-2
977,-1127261665,2,6,0.127,14626,1864.786,0.132,0.012,0.233,22-2
977,-1127891276,2,7,0.134,17699,2372.5,0.089,0.025,0.857,22-2
977,1228249413,2,6,0.158,19033,3013.357,0.178,0.018,0.249,22-2
977,723485819,2,5,0.124,13876,1720.607,0.108,0.009,0.21,22-2
977,-711419518,2,10,0.135,19758,2666.714,0.156,0.016,0.324,22-2
1236,822525763,2,3,0.196,13361,2616.393,0.114,0.071,1.115,22-2
1236,-1126305479,2,5,0.032,12826,408.679,0.08,0.063,1.958,22-2
1236,127120074,2,5,0.116,9811,1142.643,0.155,0.07,1.05,22-2
1236,-753795475,2,5,0.145,9284,1345.607,0.178,0.068,0.87,22-2
1283,1242965037,2,6,0.085,13774,1177.536,0.082,0.008,0.276,22-2
1283,-1232944916,2,6,0.086,17891,1547,0.083,0.01,0.343,22-2
1283,-1232947801,2,8,0.095,15989,1526.179,0.078,0.009,0.388,22-2
1283,1232948245,2,8,0.091,14498,1312.071,0.083,0.01,0.296,22-2
1308,-98022672,2,2,0.295,2867,844.536,0.305,0.014,0.066,22-2
1308,-115903048,2,5,0.177,4662,826.25,0.242,0.058,0.618,22-2
1308,-1229512461,2,6,0.283,3808,1077.393,0.232,0.065,0.652,22-2
1309,1229509638,2,3,0.288,3051,879.643,0.306,0.047,0.288,22-2
1309,942636713,2,9,0.198,5210,1031.75,0.179,0.013,0.215,22-2
1309,-1229503329,2,8,0.166,6335,1051.036,0.163,0.016,0.274,22-2
1304,-1308884871,2,1,0.124,18878,2346.036,0.124,0,0,22-2
1304,-1200697278,2,2,0.145,20666,2995.321,0.128,0.024,0.266,22-2
1304,1308884877,2,1,0.1,22218,2225.357,0.1,0,0,22-2
1304,1200697031,2,3,0.108,21020,2278.714,0.103,0.009,0.15,22-2
1304,1308884869,2,3,0.109,19474,2118.786,0.11,0.011,0.198,22-2
1304,-1200694260,2,3,0.089,23897,2119.321,0.095,0.014,0.27,22-2
1333,90410594,2,10,0.248,3105,770.071,0.139,0.061,1.527,22-2
1333,-771538231,2,18,0.154,2578,397.286,0.085,0.029,1.593,22-2
1333,-90410612,2,18,0.115,1895,218.536,0.11,0.034,1.224,22-2
1357,1231641349,2,4,0.095,7369,701.071,0.1,0.021,0.505,22-2
1357,-129976330,2,5,0.115,6324,728.75,0.114,0.019,0.383,22-2
1357,-924548257,2,6,0.081,8058,652.893,0.077,0.005,0.174,22-2
1357,1229749670,2,6,0.074,10653,792.357,0.066,0.006,0.275,22-2
1378,-1192298401,2,2,0.137,13150,1801.464,0.101,0.05,0.702,22-2
1378,-867086540,2,5,0.044,21273,942.464,0.069,0.055,1.84,22-2
1378,1191399113,2,4,0.059,11073,652.714,0.063,0.013,0.484,22-2
1433,-1199055391,2,4,0.102,11062,1125.714,0.101,0.011,0.259,22-2
1433,-1198983547,2,5,0.124,15575,1925.679,0.094,0.019,0.502,22-2
1433,1198988695,2,4,0.118,12517,1478.214,0.084,0.023,0.554,22-2
1433,763678781,2,5,0.098,12631,1240.893,0.101,0.011,0.294,22-2
1402,-1247506779,2,3,0.074,21997,1634.893,0.06,0.042,1.343,22-2
1402,1247382502,2,3,0.026,22387,586.143,0.073,0.044,1.189,22-2
1402,-1172552468,2,7,0.038,23060,875.714,0.043,0.017,1.008,22-2
1402,1247574592,2,7,0.095,14537,1375.25,0.057,0.029,1.306,22-2
1500,-1075929187,2,2,0.057,7986,451.321,0.043,0.02,0.657,22-2
1500,127067229,2,1,0.039,263,10.143,0.039,0,0,22-2
1500,-127067229,2,1,0.036,2017,73.5,0.036,0,0,22-2
1500,1075929190,2,2,0.04,7265,292.893,0.033,0.011,0.479,22-2
1500,106507218,2,3,0.085,6190,523.536,0.086,0.005,0.124,22-2
1500,-1075929191,2,3,0.126,8691,1097.893,0.094,0.028,0.56,22-2
1500,-127067256,2,6,0.083,12112,1003.286,0.081,0.017,0.618,22-2
1500,1200521546,2,8,0.048,10653,515.071,0.043,0.022,1.586,22-2
1431,-109009074,2,1,0.015,8103,121.893,0.015,0,0,22-2
1431,109009073,2,5,0.091,5149,469.25,0.232,0.103,0.986,22-2
1431,-1199445647,2,7,0.063,12106,759.036,0.145,0.071,1.378,22-2
1431,1199504613,2,7,0.19,11433,2168.179,0.148,0.083,1.405,22-2
1431,-133499857,2,7,0.084,13735,1159.464,0.061,0.026,1.218,22-2
1431,1156157851,2,6,0.077,14338,1097.036,0.07,0.031,1.209,22-2
1394,-1128761294,2,5,0.05,17595,880.25,0.101,0.034,0.889,22-2
1394,92469477,2,10,0.119,16639,1978.536,0.105,0.033,1.002,22-2
1394,1128761293,2,16,0.042,16830,702.5,0.047,0.013,1.137,22-2
1394,-1120770872,2,16,0.045,19489,873.679,0.042,0.014,1.228,22-2
1447,1125669654,2,2,0.069,5832,399.786,0.076,0.01,0.195,22-2
1447,-115909818,2,2,0.106,4809,508.964,0.098,0.011,0.158,22-2
1447,-1232513400,2,11,0.119,3572,424.964,0.103,0.009,0.254,22-2
1447,98346764,2,11,0.09,3811,344.107,0.096,0.007,0.23,22-2
1449,-1221164256,2,6,0.002,16617,32.25,0.028,0.02,2.014,22-2
1449,-1122339326,2,5,0.064,12556,803.286,0.064,0.003,0.122,22-2
1449,1122395075,2,5,0.077,11481,885.5,0.075,0.006,0.179,22-2
1449,1232710961,2,6,0.081,9378,759.429,0.097,0.013,0.315,22-2
1449,-1122333038,2,12,0.091,11227,1021.393,0.065,0.01,0.541,22-2
1449,1122365719,2,10,0.085,9973,846.357,0.042,0.024,1.739,22-2
1471,-855359202,2,4,0.113,10099,1140.179,0.058,0.038,1.424,22-2
1471,1222295557,2,6,0.082,8376,685.5,0.078,0.051,1.692,22-2
1471,1199464815,2,15,0.036,11255,403.25,0.081,0.038,1.476,22-2
1471,-1199462754,2,15,0.172,11178,1927.964,0.075,0.045,2.171,22-2
1473,1199942324,2,5,0.092,10173,933.679,0.179,0.118,1.668,22-2
1473,1199980091,2,4,0.095,5608,534.964,0.082,0.03,0.807,22-2
1473,-1199943383,2,5,0.017,13278,226.214,0.014,0.006,0.996,22-2
1473,-1199979375,2,4,0.024,23931,570.143,0.027,0.006,0.462,22-2
1473,1199943410,2,6,0.048,13526,648.036,0.023,0.014,1.675,22-2
