ActTr,sumADT
1863.00,6210.00
1956.00,10772.50
261.00,4025.00
591.00,11383.00
2328.00,15846.50
1531.00,4025.00
1234.00,21828.50
1517.00,4850.50
968.00,20756.50
573.00,15300.00
400.00,3762.50
789.00,12250.00
1209.00,10260.00
739.00,15697.50
1863.00,5794.50
575.00,9491.50
2633.00,22385.00
1877.00,7080.00
481.00,9450.00
500.00,13850.00
863.00,13220.00
2099.00,19075.00
1841.00,6420.00
1681.00,13387.50
1835.00,10916.00
498.00,15251.50
1986.00,18266.50
1968.00,10590.00
978.00,3037.50
1207.00,24387.50
899.00,9641.00
2627.00,22880.50
2149.00,29666.50
2454.00,29499.00
524.00,19045.50
336.00,10675.00
484.00,10237.50
2043.00,14703.75
1535.00,7437.50
1313.00,5311.25
2222.00,15575.00
2239.00,18353.50
505.00,18633.50
1339.00,3390.00
755.00,11900.00
418.00,8778.00
2319.00,11567.50
2347.00,12660.00
1357.00,16980.00
