ADT_top,ADT_bot,pop_top,pop_bot
SE-107,NE-209,NE-209,NC-307
SW-514,NC-307,SW-517,SW-502
NC-314,NW-412,NW-403,SW-503
NE-205,SW-517,SE-101,SW-501
SW-506,NW-403,NW-404,NE-208
NE-216,NE-217,SW-513,NE-215
NC-302,SE-114,NE-217,NW-405
NW-407,NC-311,NC-310,SE-114
NW-402,SW-503,SW-515,NC-311
SW-505,NE-211,NE-210,NE-206
SE-104,SW-502,SE-107,SE-112
NC-306,NC-310,NE-211,NE-204
NW-409,SW-518,SW-506,NW-412
SW-518,SW-515,SW-514,SW-520
NW-408,NE-210,NE-205,NW-407
SW-519,NW-405,NC-314,SW-504
SW-504,NW-404,SW-505,SW-519
SW-510,SE-101,NW-408,SE-116
NC-313,NE-208,NW-409,
SE-102,NE-215,NE-216,
SW-512,SW-520,NC-302,
NW-406,SE-102,NW-402,
NW-401,SW-512,NC-306,
SE-115,SW-513,SE-104,
SE-119,SW-501,SE-102,
SE-117,NE-206,NW-406,
,NE-204,SE-117,
,SE-112,SW-510,
,SE-116,SW-512,
,,SW-518,
,,NC-313,
,,SE-119,
,,SE-115,
,,NW-401,
