ActTr,sum ADT,ID
400.00,3762.50,NE-209
261.00,4025.00,NC-307
418.00,8778.00,SW-517
481.00,9450.00,NW-403
899.00,9641.00,SE-114
484.00,10237.50,SW-503
336.00,10675.00,SW-502
863.00,13220.00,NW-405
573.00,15300.00,NE-208
739.00,15697.50,NE-215
1357.00,16980.00,SW-520
524.00,19045.50,SW-501
968.00,20756.50,NE-206
1234.00,21828.50,NE-204
1207.00,24387.50,SE-112
575.00,9491.50,NE-217
1209.00,10260.00,NE-211
591.00,11383.00,NC-310
755.00,11900.00,SW-515
789.00,12250.00,NE-210
500.00,13850.00,NW-404
498.00,15251.50,SE-101
505.00,18633.50,SW-513
