ActTr,placer
1863.00,640.00
1956.00,460.00
591.00,63.33
2328.00,720.00
1531.00,360.00
1234.00,203.33
1517.00,403.33
968.00,196.67
1209.00,260.00
739.00,70.00
1863.00,560.00
2633.00,1056.67
1877.00,580.00
1841.00,560.00
1681.00,300.00
1835.00,350.00
498.00,70.00
1986.00,496.67
1968.00,70.00
1207.00,133.33
899.00,106.67
2627.00,1050.00
2149.00,926.67
2454.00,306.67
2043.00,310.00
1535.00,543.33
1313.00,213.33
2222.00,820.00
2239.00,1053.33
505.00,63.33
1339.00,133.33
755.00,86.67
2319.00,526.67
2347.00,263.33
1357.00,336.67
