ActTr,sumADT
1863.00,3105.00
1956.00,2620.00
261.00,2300.00
591.00,5565.00
2328.00,5550.00
1531.00,2300.00
1234.00,4130.00
1517.00,830.00
968.00,2400.00
573.00,12750.00
400.00,2150.00
789.00,7000.00
1209.00,6900.00
739.00,11500.00
1863.00,450.00
575.00,1220.00
2633.00,7100.00
1877.00,5900.00
481.00,5400.00
500.00,4300.00
863.00,1890.00
2099.00,10900.00
1841.00,3210.00
1681.00,7650.00
1835.00,3850.00
498.00,2270.00
1986.00,5300.00
1968.00,7395.00
978.00,1650.00
1207.00,19200.00
899.00,3300.00
2627.00,3150.00
2149.00,1100.00
2454.00,2440.00
524.00,10650.00
336.00,6100.00
484.00,5850.00
2043.00,12095.00
1535.00,4250.00
1313.00,3035.00
2222.00,1900.00
2239.00,4700.00
505.00,3900.00
1339.00,1695.00
755.00,6800.00
418.00,1370.00
2319.00,6950.00
2347.00,10550.00
1357.00,14150.00
